,link,source,lean
108,https://www.nytimes.com/2021/02/17/podcasts/the-daily/texas-statewide-blackout-climate-change.html,NYT,Towards Left
109,https://www.nytimes.com/2021/02/17/business/ford-says-it-will-phase-out-gasoline-powered-vehicles-in-europe.html,NYT,Towards Left
110,https://www.nytimes.com/2021/02/17/climate/regenerative-grazing-cattle-climate.html,NYT,Towards Left
111,https://www.nytimes.com/2021/02/16/business/winter-storm-business-disruptions.html,NYT,Towards Left
112,https://www.nytimes.com/2021/02/16/climate/texas-blackout-storm-minorities.html,NYT,Towards Left
113,https://www.nytimes.com/2021/02/16/climate/texas-power-grid-failures.html,NYT,Towards Left
114,https://www.nytimes.com/2021/02/16/business/dealbook/diversity-corporate-boardrooms.html,NYT,Towards Left
115,https://www.nytimes.com/2021/02/16/business/energy-environment/electric-car-batteries-investment.html,NYT,Towards Left
116,https://www.nytimes.com/2021/02/15/world/asia/climate-activist-jailed-india.html,NYT,Towards Left
117,https://www.nytimes.com/2021/02/15/travel/cuba-clean-water.html,NYT,Towards Left
118,https://www.nytimes.com/2021/02/15/climate/pandemic-lunches-leftovers.html,NYT,Towards Left
119,https://www.nytimes.com/2021/02/15/books/review/bill-gates-how-to-avoid-a-climate-disaster.html,NYT,Towards Left
120,https://www.nytimes.com/2021/02/14/us/winter-storm-snow-ice.html,NYT,Towards Left
121,https://www.nytimes.com/2021/02/11/climate/biden-climate-change.html,NYT,Towards Left
122,https://www.nytimes.com/2021/02/10/science/sawfish-extinction-conservation.html,NYT,Towards Left
123,https://www.nytimes.com/2021/02/10/climate/nyt-climate-newsletter-catalytic-converters.html,NYT,Towards Left
124,https://www.nytimes.com/2021/02/10/climate/ozone-layer-china-cfcs.html,NYT,Towards Left
125,https://www.nytimes.com/2021/02/10/business/gm-profits-electric-cars.html,NYT,Towards Left
126,https://www.nytimes.com/2021/02/08/climate/climate-change-flash-flood-india.html,NYT,Towards Left
127,https://www.nytimes.com/2021/02/08/climate/africa-pollution-climate-change.html,NYT,Towards Left
128,https://www.nytimes.com/2021/02/08/climate/climate-change-pollen-season.html,NYT,Towards Left
129,https://www.nytimes.com/2021/02/08/world/asia/india-flood-ignored-warnings.html,NYT,Towards Left
130,https://www.nytimes.com/2021/02/08/business/oil-companies-offshore-wind-britain.html,NYT,Towards Left
131,https://www.nytimes.com/2021/02/08/travel/mississippi-river.html,NYT,Towards Left
132,https://www.nytimes.com/2021/02/08/climate/coal-climate-change.html,NYT,Towards Left
133,https://www.nytimes.com/2021/02/07/world/asia/india-glacier-flood-uttarakhand.html,NYT,Towards Left
134,https://www.nytimes.com/2021/02/06/nyregion/snow-storm.html,NYT,Towards Left
135,https://www.nytimes.com/2021/02/05/podcasts/climate-change-podcast-sound.html,NYT,Towards Left
136,https://www.nytimes.com/2021/02/05/world/asia/pacific-islands-forum.html,NYT,Towards Left
137,https://www.nytimes.com/2021/02/04/science/paul-crutzen-dead.html,NYT,Towards Left
138,https://www.nytimes.com/2021/02/04/us/politics/biden-approval-rating-republicans.html,NYT,Towards Left
139,https://www.nytimes.com/2021/02/04/science/ocean-marine-noise-pollution.html,NYT,Towards Left
140,https://www.nytimes.com/2021/02/04/science/volcano-mice-pinatubo.html,NYT,Towards Left
141,https://www.nytimes.com/2021/02/04/climate/climate-anxiety-stress.html,NYT,Towards Left
142,https://www.nytimes.com/2021/02/04/magazine/george-clooney-midnight-sky.html,NYT,Towards Left
143,https://www.nytimes.com/2021/02/03/us/politics/jim-justice-manchin-west-virginia.html,NYT,Towards Left
144,https://www.nytimes.com/2021/02/03/climate/electric-vehicles.html,NYT,Towards Left
145,https://www.nytimes.com/2021/02/03/science/lizards-body-temperature.html,NYT,Towards Left
146,https://www.nytimes.com/2021/02/03/world/europe/france-emissions-court.html,NYT,Towards Left
147,https://www.nytimes.com/2021/02/02/climate/dasgupta-report-biodiversity-climate.html,NYT,Towards Left
148,https://www.nytimes.com/2021/02/02/climate/automakers-climate-change.html,NYT,Towards Left
149,https://www.nytimes.com/2021/02/02/business/energy-environment/exxon-mobil-bp-2020-loss.html,NYT,Towards Left
150,https://www.nytimes.com/2021/02/02/climate/cities-greenhouse-gas-emissions.html,NYT,Towards Left
151,https://www.nytimes.com/2021/02/02/podcasts/the-daily/biden-climate-agenda.html,NYT,Towards Left
152,https://www.nytimes.com/2021/02/02/climate/biden-epa.html,NYT,Towards Left
153,https://www.nytimes.com/2021/02/01/climate/puerto-rico-maria-federal-aid.html,NYT,Towards Left
154,https://www.nytimes.com/2021/02/01/business/energy-environment/exxon-mobil-carbon-capture.html,NYT,Towards Left
155,https://www.nytimes.com/2021/02/01/well/eat/climate-change-health.html,NYT,Towards Left
156,https://www.nytimes.com/2021/01/31/climate/black-farmers-discrimination-agriculture.html,NYT,Towards Left
157,https://www.nytimes.com/2021/01/30/climate/polar-vortex-weather-climate-change.html,NYT,Towards Left
158,https://www.nytimes.com/2021/01/29/business/general-motors-electric-cars.html,NYT,Towards Left
159,https://www.nytimes.com/2021/01/29/climate/gm-electric-cars-power-grid.html,NYT,Towards Left
160,https://www.nytimes.com/2021/01/29/climate/biden-amazon-deforestation.html,NYT,Towards Left
161,https://www.nytimes.com/2021/01/28/obituaries/eleanor-sandy-torrey-west-dead.html,NYT,Towards Left
162,https://www.nytimes.com/2021/01/28/business/gm-zero-emission-vehicles.html,NYT,Towards Left
163,https://www.nytimes.com/2021/01/28/us/politics/biden-climate-economy-jobs.html,NYT,Towards Left
164,https://www.nytimes.com/2021/01/27/us/doomsday-clock-midnight.html,NYT,Towards Left
165,https://www.nytimes.com/2021/01/27/climate/sharks-population-study.html,NYT,Towards Left
166,https://www.nytimes.com/2021/01/27/climate/biden-nyt-climate-newsletter.html,NYT,Towards Left
167,https://www.nytimes.com/2021/01/27/climate/biden-climate-executive-orders.html,NYT,Towards Left
168,https://www.nytimes.com/2021/01/27/climate/jennifer-granholm-senate-confirmation.html,NYT,Towards Left
169,https://www.nytimes.com/2021/01/27/climate/climate-change-biden-kerry.html,NYT,Towards Left
170,https://www.nytimes.com/2021/01/26/climate/biden-climate-change.html,NYT,Towards Left
171,https://www.nytimes.com/2021/01/26/climate/pfas-firefighter-safety.html,NYT,Towards Left
172,https://www.nytimes.com/2021/01/26/business/dealbook/larry-fink-blackrock-climate.html,NYT,Towards Left
173,https://www.nytimes.com/2021/01/26/business/dealbook/larry-fink-letter-blackrock-climate.html,NYT,Towards Left
174,https://www.nytimes.com/2021/01/26/fashion/sustainability-clothes-environment-technology.html,NYT,Towards Left
175,https://www.nytimes.com/2021/01/25/climate/biden-climate-change.html,NYT,Towards Left
176,https://www.nytimes.com/2021/01/25/climate/fema-climate-spending-biden.html,NYT,Towards Left
177,https://www.nytimes.com/2021/01/25/arts/music/weather-station-ignorance.html,NYT,Towards Left
178,https://www.nytimes.com/2021/01/25/travel/remote-weather-station-iceland.html,NYT,Towards Left
179,https://www.nytimes.com/2021/01/22/books/review/scorched-earth-emmanuel-kreike-how-to-prepare-for-climate-change-david-pogue-how-to-blow-up-a-pipeline-andreas-malm.html,NYT,Towards Left
180,https://www.nytimes.com/2021/01/22/us/california-rain.html,NYT,Towards Left
181,https://www.nytimes.com/2021/01/22/science/seabirds-covid-tourism.html,NYT,Towards Left
182,https://www.nytimes.com/2021/01/22/podcasts/the-daily/joe-biden-covid-environment-immigration-executive-orders.html,NYT,Towards Left
183,https://www.nytimes.com/2021/01/22/climate/biden-environment.html,NYT,Towards Left
184,https://www.nytimes.com/2021/01/21/climate/buttigieg-climate-transportation.html,NYT,Towards Left
185,https://www.nytimes.com/2021/01/21/climate/biden-paris-climate-agreement.html,NYT,Towards Left
186,https://www.nytimes.com/2021/01/20/us/biden-executive-orders.html,NYT,Towards Left
187,https://www.nytimes.com/2021/01/20/climate/biden-paris-climate-agreement.html,NYT,Towards Left
188,https://www.nytimes.com/2021/01/20/climate/washington-salmon-extinction-climate-change.html,NYT,Towards Left
189,https://www.nytimes.com/2021/01/20/climate/biden-inauguration-climate.html,NYT,Towards Left
190,https://www.nytimes.com/2021/01/20/business/energy-environment/suriname-oil-discovery.html,NYT,Towards Left
191,https://www.nytimes.com/2021/01/19/climate/biden-climate-change.html,NYT,Towards Left
192,https://www.nytimes.com/2021/01/19/climate/trump-climate-change.html,NYT,Towards Left
193,https://www.nytimes.com/2021/01/19/climate/supreme-court-baltimore-climate-change.html,NYT,Towards Left
194,https://www.nytimes.com/2021/01/18/us/politics/biden-cancel-keystone-xl-pipeline.html,NYT,Towards Left
195,https://www.nytimes.com/2021/01/18/climate/live-event-netting-zero-fossil-fuel.html,NYT,Towards Left
196,https://www.nytimes.com/2021/01/18/travel/rural-alaska-skiing.html,NYT,Towards Left
197,https://www.nytimes.com/2021/01/18/climate/carbon-removal-technology.html,NYT,Towards Left
198,https://www.nytimes.com/2021/01/17/podcasts/the-daily/valve-turners-climate-activists.html,NYT,Towards Left
199,https://www.nytimes.com/2021/01/13/climate/the-capitol-riot-and-climate-disinformation.html,NYT,Towards Left
200,https://www.nytimes.com/2021/01/12/climate/2020-greenhouse-gas-emissions.html,NYT,Towards Left
201,https://www.nytimes.com/2021/01/08/climate/hottest-year-ever.html,NYT,Towards Left
202,https://www.nytimes.com/2021/01/07/climate/capitol-riots-arrests-climate.html,NYT,Towards Left
203,https://www.washingtonpost.com/climate-environment/2021/02/23/deb-haaland-interior-secretary-hearing/,WP,Towards Left
204,https://www.washingtonpost.com/climate-environment/2021/02/23/climate-change-natural-gas/,WP,Towards Left
205,https://www.washingtonpost.com/climate-environment/2021/01/21/tracking-bidens-environmental-actions/,WP,Towards Left
206,https://www.washingtonpost.com/politics/2021/02/18/energy-202-democrats-eye-climate-big-infrastructure-push/,WP,Towards Left
207,https://www.washingtonpost.com/politics/2021/02/17/energy-202-frozen-wind-turbines-arent-why-texas-cant-keep-lights/,WP,Towards Left
208,https://www.washingtonpost.com/politics/2021/02/16/energy-202-how-bitter-cold-snap-is-crippling-power-texas/,WP,Towards Left
209,https://www.washingtonpost.com/climate-environment/2021/02/19/climate-paris-accord/,WP,Towards Left
210,https://www.washingtonpost.com/climate-environment/2021/02/19/haaland-interior-native-american/,WP,Towards Left
211,https://www.washingtonpost.com/climate-solutions/2021/02/18/climate-solutions-alps/,WP,Towards Left
212,https://www.washingtonpost.com/nation/2021/02/17/animals-texas-winter-storm-turtles/,WP,Towards Left
213,https://www.washingtonpost.com/climate-environment/2021/02/15/these-gases-your-grocerys-freezer-are-fueling-climate-change-biden-wants-fix-that/,WP,Towards Left
214,https://www.washingtonpost.com/climate-environment/2021/02/12/epa-jettison-major-obama-climate-rule-biden-eyes-bigger-push/,WP,Towards Left
215,https://www.washingtonpost.com/health/2021/02/10/carbon-dioxide-device-coronavirus/,WP,Towards Left
216,https://www.washingtonpost.com/climate-environment/2021/02/09/countries-must-ramp-up-climate-pledges-by-80-percent-hit-key-paris-target-study-finds/,WP,Towards Left
217,https://www.washingtonpost.com/climate-environment/2021/02/06/auto-industry-peers-into-an-electric-future-sees-bumps-ahead/,WP,Towards Left
